year,category,film,name,BAFTA,Golden Globe,Guild,Oscar,running_time,box_office,imdb_score,rt_audience_score,rt_critic_score,produced_USA,R,PG,PG13,G,q1_release,q2_release,q3_release,q4_release
1996,Supporting Actress,Secrets and Lies,Marianne Jean-Baptiste,0.0,0.0,0.0,0.0,142,13417292.0,8.0,91.0,94.0,0,1,0,0,0,1,0,0,0
1997,Supporting Actress,L.A. Confidential,Kim Basinger,0.0,1.0,1.0,1.0,138,126200000.0,7.3,94.0,99.0,1,1,0,0,0,0,0,1,0
1997,Supporting Actress,In and Out,Joan Cusack,0.0,0.0,0.0,0.0,92,63856929.0,6.3,51.0,72.0,1,0,0,1,0,0,0,1,0
1997,Supporting Actress,Good Will Hunting,Minnie Driver,0.0,0.0,0.0,0.0,126,225900000.0,8.3,94.0,97.0,1,1,0,0,0,1,0,0,0
1997,Supporting Actress,Boogie Nights,Julianne Moore,0.0,0.0,0.0,0.0,155,43100000.0,7.9,89.0,92.0,1,1,0,0,0,0,0,0,1
1997,Supporting Actress,Titanic,Gloria Stuart,0.0,0.0,1.0,0.0,195,21870000.0,7.7,69.0,88.0,1,0,0,1,0,0,0,0,1
1998,Supporting Actress,Shakespeare in Love,Judi Dench,1.0,0.0,0.0,1.0,123,289300000.0,7.2,80.0,92.0,1,1,0,0,0,1,0,0,0
1998,Supporting Actress,Primary Colors,Kathy Bates,0.0,0.0,1.0,0.0,143,52100000.0,6.7,64.0,80.0,1,1,0,0,0,1,0,0,0
1998,Supporting Actress,Little Voice,Brenda Blethyn,0.0,0.0,0.0,0.0,96,4611784.0,7.0,74.0,79.0,0,1,0,0,0,0,0,0,1
1998,Supporting Actress,Hilary and Jackie,Rachel Griffiths,0.0,0.0,0.0,0.0,121,4912892.0,7.4,83.0,86.0,0,1,0,0,0,1,0,0,0
1998,Supporting Actress,Gods and Monsters,Lynn Redgrave,0.0,1.0,0.0,0.0,105,6500000.0,7.5,83.0,95.0,0,1,0,0,0,0,0,0,1
1999,Supporting Actress,"Girl, Interrupted",Angelina Jolie,0.0,1.0,1.0,1.0,127,48300000.0,7.3,84.0,54.0,1,1,0,0,0,1,0,0,0
1999,Supporting Actress,The Sixth Sense,Toni Collette,0.0,0.0,0.0,0.0,107,672800000.0,8.1,89.0,85.0,1,0,0,1,0,0,0,1,0
1999,Supporting Actress,Being John Malkovich,Catherine Keener,0.0,0.0,0.0,0.0,112,32400000.0,7.8,87.0,93.0,1,1,0,0,0,0,0,0,1
1999,Supporting Actress,Sweet and Lowdown,Samantha Morton,0.0,0.0,0.0,0.0,95,4197015.0,7.3,81.0,78.0,1,0,0,1,0,1,0,0,0
1999,Supporting Actress,Boys Don't Cry,Chlo Sevigny,0.0,0.0,0.0,0.0,118,11500000.0,7.6,87.0,88.0,1,1,0,0,0,1,0,0,0
2000,Supporting Actress,Pollock,Marcia Gay Harden,0.0,0.0,0.0,1.0,122,10558970.0,7.0,74.0,81.0,1,1,0,0,0,1,0,0,0
2000,Supporting Actress,Chocolat,Judi Dench,0.0,0.0,1.0,0.0,121,152699946.0,7.3,83.0,63.0,1,0,0,1,0,1,0,0,0
2000,Supporting Actress,Almost Famous,Kate Hudson,0.0,1.0,0.0,0.0,122,47400000.0,7.9,92.0,89.0,1,1,0,0,0,0,0,1,0
2000,Supporting Actress,Billy Elliot,Julie Walters,1.0,0.0,0.0,0.0,110,72853509.0,7.7,89.0,85.0,0,1,0,0,0,0,0,0,1
2001,Supporting Actress,A Beautiful Mind,Jennifer Connelly,1.0,1.0,0.0,1.0,135,313000000.0,8.2,93.0,75.0,1,0,0,1,0,1,0,0,0
2001,Supporting Actress,In the Bedroom,Marisa Tomei,0.0,0.0,0.0,0.0,131,43400000.0,7.5,81.0,93.0,1,1,0,0,0,1,0,0,0
2001,Supporting Actress,Iris,Kate Winslet,0.0,0.0,0.0,0.0,90,16200000.0,7.1,74.0,79.0,0,1,0,0,0,1,0,0,0
2002,Supporting Actress,Chicago,Catherine Zeta-Jones,1.0,0.0,1.0,1.0,113,306800000.0,7.2,83.0,86.0,1,0,0,1,0,1,0,0,0
2002,Supporting Actress,About Schmidt,Kathy Bates,0.0,0.0,0.0,0.0,124,105834556.0,7.2,74.0,85.0,1,1,0,0,0,1,0,0,0
2002,Supporting Actress,The Hours,Julianne Moore,0.0,0.0,0.0,0.0,114,108800000.0,7.6,84.0,81.0,0,0,0,1,0,1,0,0,0
2002,Supporting Actress,Chicago,Queen Latifah,0.0,0.0,0.0,0.0,113,306800000.0,7.2,83.0,86.0,1,0,0,1,0,1,0,0,0
2002,Supporting Actress,Adaptation,Meryl Streep,0.0,0.0,0.0,0.0,114,32800000.0,7.7,85.0,91.0,1,1,0,0,0,1,0,0,0
2003,Supporting Actress,Cold Mountain,Rene Zellweger,1.0,1.0,1.0,1.0,154,173000000.0,7.2,77.0,71.0,1,1,0,0,0,0,0,0,1
2003,Supporting Actress,House of Sand and Fog,Shohreh Aghdashloo,0.0,0.0,0.0,0.0,124,16942795.0,7.6,83.0,74.0,1,1,0,0,0,1,0,0,0
2003,Supporting Actress,Pieces of April,Patricia Clarkson,0.0,0.0,0.0,0.0,81,3272028.0,7.1,73.0,84.0,1,0,0,1,0,0,0,0,1
2003,Supporting Actress,Mystic River,Marcia Gay Harden,0.0,0.0,0.0,0.0,137,156800000.0,8.0,89.0,87.0,1,1,0,0,0,0,0,0,1
2003,Supporting Actress,Thirteen,Holly Hunter,0.0,0.0,0.0,0.0,100,10100000.0,6.8,77.0,81.0,1,1,0,0,0,0,0,1,0
2004,Supporting Actress,The Aviator,Cate Blanchett,1.0,0.0,1.0,1.0,170,213700000.0,7.5,79.0,87.0,1,0,0,1,0,0,0,0,1
2004,Supporting Actress,Kinsey,Laura Linney,0.0,0.0,0.0,0.0,118,16900000.0,7.1,75.0,90.0,1,1,0,0,0,1,0,0,0
2004,Supporting Actress,Sideways,Virginia Madsen,0.0,0.0,0.0,0.0,123,109700000.0,7.5,78.0,96.0,1,1,0,0,0,1,0,0,0
2004,Supporting Actress,Hotel Rwanda,Sophie Okonedo,0.0,0.0,0.0,0.0,121,33900000.0,8.1,94.0,90.0,0,0,0,1,0,1,0,0,0
2004,Supporting Actress,Closer,Natalie Portman,0.0,1.0,0.0,0.0,104,115505027.0,7.3,81.0,68.0,1,1,0,0,0,0,0,0,1
2005,Supporting Actress,The Constant Gardener,Rachel Weisz,0.0,1.0,1.0,1.0,129,82466670.0,7.5,82.0,84.0,0,1,0,0,0,0,0,1,0
2005,Supporting Actress,Junebug,Amy Adams,0.0,0.0,0.0,0.0,106,3400000.0,7.0,73.0,86.0,1,1,0,0,0,0,0,1,0
2005,Supporting Actress,Capote,Catherine Keener,0.0,0.0,0.0,0.0,114,49200000.0,7.4,81.0,90.0,1,1,0,0,0,1,0,0,0
2005,Supporting Actress,North Country,Frances McDormand,0.0,0.0,0.0,0.0,126,25200000.0,7.3,76.0,68.0,1,1,0,0,0,0,0,0,1
2005,Supporting Actress,Brokeback Mountain,Michelle Williams,0.0,0.0,0.0,0.0,134,178100000.0,7.7,82.0,87.0,1,1,0,0,0,1,0,0,0
2006,Supporting Actress,Dreamgirls,Jennifer Hudson,1.0,1.0,1.0,1.0,130,154800000.0,6.5,71.0,78.0,1,0,0,1,0,0,0,0,1
2006,Supporting Actress,Babel,Adriana Barraza,0.0,0.0,0.0,0.0,143,135300000.0,7.5,77.0,69.0,1,1,0,0,0,0,0,0,1
2006,Supporting Actress,Notes on a Scandal,Cate Blanchett,0.0,0.0,0.0,0.0,91,49800000.0,7.4,83.0,87.0,0,1,0,0,0,1,0,0,0
2006,Supporting Actress,Little Miss Sunshine,Abigail Breslin,0.0,0.0,0.0,0.0,101,100500000.0,7.8,91.0,91.0,1,1,0,0,0,0,0,1,0
