year,category,film,name,BAFTA,Golden Globe,Guild,Oscar,running_time,box_office,imdb_score,rt_audience_score,rt_critic_score,produced_USA,R,PG,PG13,G,q1_release,q2_release,q3_release,q4_release
2003,Original Screenplay,The Barbarian Invasions,Denys Arcand,0,0,0,0,99,26924656,7.7,88,81,0,1,0,0,0,1,0,0,0
2003,Original Screenplay,Dirty Pretty Things,Steven Knight,0,0,0,0,97,13904766,7.4,82,94,0,1,0,0,0,0,0,1,0
2003,Original Screenplay,Finding Nemo,Andrew Stanton,0,0,0,0,100,940300000,8.1,86,99,1,0,0,0,1,0,1,0,0
2003,Original Screenplay,In America,Jim Sheridan,0,0,0,0,105,25382911,7.8,91,89,0,0,0,1,0,1,0,0,0
2004,Original Screenplay,Eternal Sunshine of the Spotless Mind,Charlie Kaufman,1,0,0,1,108,72300000,8.3,94,93,1,1,0,0,0,1,0,0,0
2004,Original Screenplay,The Aviator,John Logan,0,0,0,0,170,213700000,7.5,79,87,1,0,0,1,0,0,0,0,1
2004,Original Screenplay,Hotel Rwanda,Terry George,0,0,0,0,121,33900000,8.1,94,90,0,0,0,1,0,1,0,0,0
2004,Original Screenplay,The Incredibles,Brad Bird,0,0,0,0,115,633000000,8,75,97,1,0,1,0,0,0,0,0,1
2004,Original Screenplay,Vera Drake,Mike Leigh,0,0,0,0,125,13300000,7.7,84,92,0,1,0,0,0,1,0,0,0
2005,Original Screenplay,Crash,Paul Haggis,1,0,0,1,112,98400000,7.8,88,75,1,1,0,0,0,0,1,0,0
2005,Original Screenplay,"Good Night, and Good Luck",George Clooney,0,0,0,0,93,56500000,7.5,83,93,1,0,1,0,0,0,0,0,1
2005,Original Screenplay,Match Point,Woody Allen,0,0,0,0,124,85300000,7.7,81,77,0,1,0,0,0,1,0,0,0
2005,Original Screenplay,The Squid and the Whale,Noah Baumbach,0,0,0,0,81,11000000,7.4,81,93,1,1,0,0,0,0,0,0,1
2005,Original Screenplay,Syriana,Stephen Gaghan,0,0,0,0,128,94000000,7,67,72,1,1,0,0,0,0,0,0,1
2006,Original Screenplay,Little Miss Sunshine,Michael Arndt,1,0,0,1,101,100500000,7.8,91,91,1,1,0,0,0,0,0,1,0
2006,Original Screenplay,Babel,Guillermo Arriaga,0,0,0,0,143,135300000,7.5,77,69,1,1,0,0,0,0,0,0,1
2006,Original Screenplay,Letters from Iwo Jima,Iris Yamashita,0,0,0,0,140,68700000,7.9,86,91,1,1,0,0,0,1,0,0,0
2006,Original Screenplay,Pan's Labyrinth,Guillermo del Toro,0,0,0,0,119,83300000,8.2,91,95,0,1,0,0,0,1,0,0,0
2006,Original Screenplay,The Queen,Peter Morgan,0,1,0,0,103,77900000,7.3,76,97,0,0,0,1,0,0,0,0,1
2007,Original Screenplay,Juno,Diablo Cody,1,0,0,1,96,231400000,7.5,88,94,1,0,0,1,0,0,0,0,1
2007,Original Screenplay,Lars and the Real Girl,Nancy Oliver,0,0,0,0,106,11300000,7.4,84,81,1,0,0,1,0,0,0,0,1
2007,Original Screenplay,Michael Clayton,Tony Gilroy,0,0,0,0,119,92900000,7.3,69,90,1,1,0,0,0,0,0,0,1
2007,Original Screenplay,Ratatouille,Brad Bird,0,0,0,0,111,620700000,8,87,96,1,0,0,0,1,0,1,0,0
2007,Original Screenplay,The Savages,Tamara Jenkins,0,0,0,0,113,9610042,7.2,74,89,1,1,0,0,0,1,0,0,0
2008,Original Screenplay,Milk,Dustin Lance Black,0,0,0,1,128,54600000,7.6,89,94,1,1,0,0,0,1,0,0,0
2008,Original Screenplay,Frozen River,Courtney Hunt,0,0,0,0,97,5133210,7.2,74,88,1,1,0,0,0,0,0,1,0
2008,Original Screenplay,Happy-Go-Lucky,Mike Leigh,0,0,0,0,118,11700000,7,66,93,0,1,0,0,0,0,0,0,1
2008,Original Screenplay,In Bruges,Martin McDonagh,1,0,0,0,107,34500000,8,86,84,0,1,0,0,0,1,0,0,0
2008,Original Screenplay,WALL-E,Andrew Stanton,0,0,0,0,98,533300000,8.4,89,96,1,0,0,0,1,0,1,0,0
2009,Original Screenplay,The Hurt Locker,Mark Boal,1,0,0,1,131,49200000,7.6,84,98,1,1,0,0,0,0,0,1,0
2009,Original Screenplay,Inglourious Basterds,Quentin Tarantino,0,0,0,0,153,321500000,8.3,87,89,1,1,0,0,0,0,0,1,0
2009,Original Screenplay,The Messenger,Alessandro Camon,0,0,0,0,113,1521261,7.2,75,89,1,1,0,0,0,0,0,0,1
2009,Original Screenplay,A Serious Man,Joel Coen Ethan Coen,0,0,0,0,106,31400000,7,67,89,1,1,0,0,0,0,0,0,1
2009,Original Screenplay,Up,Bob Peterson,0,0,0,0,96,735100000,8.3,90,98,1,0,1,0,0,0,1,0,0
